20
50
0	1	25	2
0	2	6	3
0	3	7	3
0	4	16	13
0	5	0.1	14
0	6	88	25
0	7	12	15
0	8	43	48
0	9	92	47
0	10	36.82850354	25
0	11	17.92976091	25
0	12	98.51304739	25
0	13	96.23683303	25
0	14	56.78608435	25
0	15	35.63332828	25
0	16	41.42268488	25
0	17	77.17454046	25
0	18	77.04870395	25
0	19	43.1531213	25
1	2	1	2
1	3	3	2
1	4	32	13
1	5	23	14
1	6	45	18
1	7	55	21
1	8	32	49
1	9	62	47
1	10	30.73085908	25
1	11	95.22776878	25
1	12	75.94144223	25
1	13	79.90133713	25
1	14	35.96947121	25
1	15	7.355445145	25
1	16	77.19945359	25
1	17	4.493543979	25
1	18	37.23102153	25
1	19	56.4041095	25
2	3	18	3
2	4	23	21
2	5	19	15
2	6	78	14
2	7	93	13
2	8	39	47
2	9	80	48
2	10	43.39082741	25
2	11	11.27055573	25
2	12	29.03748926	25
2	13	13.26198371	25
2	14	90.59785529	25
2	15	59.42317743	25
2	16	38.83741438	25
2	17	79.12426472	25
2	18	86.4700525	25
2	19	80.85832604	25
3	4	77	13
3	5	38	14
3	6	96	25
3	7	16	16
3	8	80	50
3	9	98	46
3	10	55.28504559	25
3	11	46.01350339	25
3	12	4.116811535	25
3	13	48.66673232	25
3	14	6.731864679	25
3	15	9.217543111	25
3	16	15.25576566	25
3	17	43.11785705	25
3	18	79.73082329	25
3	19	76.66974409	25
4	5	50	2.8
4	6	7	3.21
4	7	2.2	0.95
4	8	77	48
4	9	77	49
4	10	20	0
4	11	38.57501787	25
4	12	0.5168137753	25
4	13	37.81757714	25
4	14	5.502301869	25
4	15	36.40302085	25
4	16	20	0
4	17	40.01106687	25
4	18	19.39058821	25
4	19	20	0
5	6	1.4	0.555
5	7	2.2	2.09
5	8	88	49
5	9	39	44
5	10	41.05327923	25
5	11	22.50946047	25
5	12	85.5312771	25
5	13	7.163296416	25
5	14	52.50151867	25
5	15	30.18374648	25
5	16	52.49118807	25
5	17	75.40675963	25
5	18	4.040872442	25
5	19	44.65462989	25
6	7	28	2.2
6	8	98	47
6	9	43	42
6	10	43.65555685	25
6	11	23.03994725	25
6	12	81.08631356	25
6	13	8.42528841	25
6	14	32.71308427	25
6	15	39.55754758	25
6	16	39.42923672	25
6	17	66.20268709	25
6	18	11.56298309	25
6	19	63.81147059	25
7	8	98	50
7	9	48	42
7	10	7.527822693	25
7	11	39.79823635	25
7	12	83.13926904	25
7	13	25.78239966	25
7	14	39.23067436	25
7	15	58.66879606	25
7	16	49.75598383	25
7	17	71.69154315	25
7	18	16.18795201	25
7	19	32.6528123	25
8	9	99	0
8	10	73.45957138	25
8	11	53.11044107	25
8	12	87.00405126	25
8	13	79.93583627	25
8	14	49.72121481	25
8	15	21.12793897	25
8	16	49.82944743	25
8	17	87.35296734	25
8	18	90.99245135	25
8	19	89.12867947	25
9	10	74.57657713	25
9	11	22.80270538	25
9	12	43.18152958	25
9	13	98.32623021	25
9	14	70.27575426	25
9	15	75.80745722	25
9	16	75.98587854	25
9	17	9.876638523	25
9	18	38.26186086	25
9	19	82.11046044	25
10	11	80	2
10	12	6	3
10	13	7	3
10	14	16	13
10	15	0.1	14
10	16	88	25
10	17	12	15
10	18	43	48
10	19	92	47
11	12	1	2
11	13	3	2
11	14	32	13
11	15	23	14
11	16	45	18
11	17	55	21
11	18	32	49
11	19	62	47
12	13	18	3
12	14	23	21
12	15	19	15
12	16	78	14
12	17	93	13
12	18	39	47
12	19	80	48
13	14	77	13
13	15	38	14
13	16	96	25
13	17	16	16
13	18	80	50
13	19	98	46
14	15	14	2.8
14	16	7	3.21
14	17	2.2	0.95
14	18	77	48
14	19	77	49
15	16	1.4	0.555
15	17	2.2	2.09
15	18	88	49
15	19	39	44
16	17	28	2.2
16	18	98	47
16	19	43	42
17	18	98	50
17	19	48	42
18	19	99	0
